"SPEED1=2 #SUP: 16"
"TOTAL=10 #SUP: 16"
"SPEED2=1.5 #SUP: 16"
"NUMBER2=0 #SUP: 16"
"SENS=6 #SUP: 16"
"SENS=10 #SUP: 12"
"NUMBER2=2 #SUP: 16"
"SPEED2=2.5 #SUP: 16"
"TOTAL=30 #SUP: 16"
"SPEED1=6 #SUP: 16"
"SPEED1=2 TOTAL=10  #SUP: 8"
"SPEED1=2 SPEED2=1.5  #SUP: 8"
"SPEED1=2 NUMBER2=0  #SUP: 8"
"SPEED1=2 SENS=6  #SUP: 8"
"SPEED1=2 SENS=10  #SUP: 8"
"SPEED1=2 NUMBER2=2  #SUP: 8"
"SPEED1=2 SPEED2=2.5  #SUP: 8"
"SPEED1=2 TOTAL=30  #SUP: 8"
"TOTAL=10 SPEED2=1.5  #SUP: 8"
"TOTAL=10 NUMBER2=0  #SUP: 8"
"TOTAL=10 SENS=6  #SUP: 8"
"TOTAL=10 SENS=10  #SUP: 8"
"TOTAL=10 NUMBER2=2  #SUP: 8"
"TOTAL=10 SPEED2=2.5  #SUP: 8"
"TOTAL=10 SPEED1=6  #SUP: 8"
"SPEED2=1.5 NUMBER2=0  #SUP: 8"
"SPEED2=1.5 SENS=6  #SUP: 8"
"SPEED2=1.5 SENS=10  #SUP: 6"
"SPEED2=1.5 NUMBER2=2  #SUP: 8"
"SPEED2=1.5 TOTAL=30  #SUP: 8"
"SPEED2=1.5 SPEED1=6  #SUP: 8"
"NUMBER2=0 SENS=6  #SUP: 8"
"NUMBER2=0 SENS=10  #SUP: 6"
"NUMBER2=0 SPEED2=2.5  #SUP: 8"
"NUMBER2=0 TOTAL=30  #SUP: 8"
"NUMBER2=0 SPEED1=6  #SUP: 8"
"SENS=6 NUMBER2=2  #SUP: 8"
"SENS=6 SPEED2=2.5  #SUP: 8"
"SENS=6 TOTAL=30  #SUP: 8"
"SENS=6 SPEED1=6  #SUP: 8"
"SENS=10 NUMBER2=2  #SUP: 6"
"SENS=10 SPEED2=2.5  #SUP: 6"
"NUMBER2=2 SPEED2=2.5  #SUP: 8"
"NUMBER2=2 TOTAL=30  #SUP: 8"
"NUMBER2=2 SPEED1=6  #SUP: 8"
"SPEED2=2.5 TOTAL=30  #SUP: 8"
"SPEED2=2.5 SPEED1=6  #SUP: 8"
"TOTAL=30 SPEED1=6  #SUP: 8"
"SPEED1=2 TOTAL=10 SPEED2=1.5  #SUP: 4"
"SPEED1=2 TOTAL=10 NUMBER2=0  #SUP: 4"
"SPEED1=2 TOTAL=10 SENS=6  #SUP: 4"
"SPEED1=2 TOTAL=10 SENS=10  #SUP: 4"
"SPEED1=2 TOTAL=10 NUMBER2=2  #SUP: 4"
"SPEED1=2 TOTAL=10 SPEED2=2.5  #SUP: 4"
"SPEED1=2 SPEED2=1.5 NUMBER2=0  #SUP: 4"
"SPEED1=2 SPEED2=1.5 SENS=6  #SUP: 4"
"SPEED1=2 SPEED2=1.5 SENS=10  #SUP: 4"
"SPEED1=2 SPEED2=1.5 NUMBER2=2  #SUP: 4"
"SPEED1=2 SPEED2=1.5 TOTAL=30  #SUP: 4"
"SPEED1=2 NUMBER2=0 SENS=6  #SUP: 4"
"SPEED1=2 NUMBER2=0 SENS=10  #SUP: 4"
"SPEED1=2 NUMBER2=0 SPEED2=2.5  #SUP: 4"
"SPEED1=2 NUMBER2=0 TOTAL=30  #SUP: 4"
"SPEED1=2 SENS=6 NUMBER2=2  #SUP: 4"
"SPEED1=2 SENS=6 SPEED2=2.5  #SUP: 4"
"SPEED1=2 SENS=6 TOTAL=30  #SUP: 4"
"SPEED1=2 SENS=10 NUMBER2=2  #SUP: 4"
"SPEED1=2 SENS=10 SPEED2=2.5  #SUP: 4"
"SPEED1=2 SENS=10 TOTAL=30  #SUP: 4"
"SPEED1=2 NUMBER2=2 SPEED2=2.5  #SUP: 4"
"SPEED1=2 NUMBER2=2 TOTAL=30  #SUP: 4"
"SPEED1=2 SPEED2=2.5 TOTAL=30  #SUP: 4"
"TOTAL=10 SPEED2=1.5 NUMBER2=0  #SUP: 4"
"TOTAL=10 SPEED2=1.5 SENS=6  #SUP: 4"
"TOTAL=10 SPEED2=1.5 SENS=10  #SUP: 4"
"TOTAL=10 SPEED2=1.5 NUMBER2=2  #SUP: 4"
"TOTAL=10 SPEED2=1.5 SPEED1=6  #SUP: 4"
"TOTAL=10 NUMBER2=0 SENS=6  #SUP: 4"
"TOTAL=10 NUMBER2=0 SENS=10  #SUP: 4"
"TOTAL=10 NUMBER2=0 SPEED2=2.5  #SUP: 4"
"TOTAL=10 NUMBER2=0 SPEED1=6  #SUP: 4"
"TOTAL=10 SENS=6 NUMBER2=2  #SUP: 4"
"TOTAL=10 SENS=6 SPEED2=2.5  #SUP: 4"
"TOTAL=10 SENS=6 SPEED1=6  #SUP: 4"
"TOTAL=10 SENS=10 NUMBER2=2  #SUP: 4"
"TOTAL=10 SENS=10 SPEED2=2.5  #SUP: 4"
"TOTAL=10 SENS=10 SPEED1=6  #SUP: 4"
"TOTAL=10 NUMBER2=2 SPEED2=2.5  #SUP: 4"
"TOTAL=10 NUMBER2=2 SPEED1=6  #SUP: 4"
"TOTAL=10 SPEED2=2.5 SPEED1=6  #SUP: 4"
