"Water=210 #SUP: 3"
"SP=9 #SUP: 11"
"Coarse_Aggr=904 #SUP: 3"
"SLUMP_cm=23 #SUP: 8"
"Compressive_Strength_Mpa=34.99 #SUP: 2"
"Water=180 #SUP: 3"
"SP=12 #SUP: 6"
"FLOW_cm=20 #SUP: 17"
"Compressive_Strength_Mpa=41.14 #SUP: 2"
"Water=179 #SUP: 3"
"SLUMP_cm=3 #SUP: 2"
"Compressive_Strength_Mpa=42.08 #SUP: 2"
"Cemment=154 #SUP: 2"
"SP=10 #SUP: 11"
"SLUMP_cm=20 #SUP: 3"
"FLOW_cm=64 #SUP: 6"
"Fine_Aggr=829 #SUP: 2"
"FLOW_cm=55 #SUP: 2"
"Cemment=152 #SUP: 2"
"Fly_ash=178 #SUP: 2"
"Water=168 #SUP: 3"
"Cemment=145 #SUP: 3"
"Slag=0 #SUP: 26"
"SP=6 #SUP: 24"
"Coarse_Aggr=750 #SUP: 2"
"SLUMP_cm=14.5 #SUP: 5"
"Compressive_Strength_Mpa=38.46 #SUP: 2"
"Slag=106 #SUP: 5"
"Water=208 #SUP: 3"
"SLUMP_cm=24.5 #SUP: 3"
"FLOW_cm=61 #SUP: 3"
"Cemment=148 #SUP: 2"
"Water=193 #SUP: 3"
"SP=7 #SUP: 5"
"SLUMP_cm=23.75 #SUP: 2"
"FLOW_cm=58 #SUP: 2"
"Fly_ash=167 #SUP: 3"
"SLUMP_cm=25.5 #SUP: 3"
"FLOW_cm=67 #SUP: 4"
"Fly_ash=0 #SUP: 20"
"Water=234 #SUP: 2"
"SLUMP_cm=17 #SUP: 2"
"FLOW_cm=54 #SUP: 3"
"Cemment=159 #SUP: 4"
"Slag=116 #SUP: 2"
"Fly_ash=149 #SUP: 2"
"SLUMP_cm=23.5 #SUP: 5"
"Fly_ash=239 #SUP: 3"
"Compressive_Strength_Mpa=28.29 #SUP: 2"
"SP=11 #SUP: 12"
"SLUMP_cm=25 #SUP: 8"
"FLOW_cm=68.5 #SUP: 2"
"Compressive_Strength_Mpa=41.01 #SUP: 2"
"FLOW_cm=48.5 #SUP: 2"
"SLUMP_cm=13 #SUP: 2"
"FLOW_cm=46 #SUP: 3"
"Compressive_Strength_Mpa=36.19 #SUP: 2"
"Water=183 #SUP: 3"
"Fine_Aggr=757 #SUP: 4"
"Cemment=146 #SUP: 2"
"SLUMP_cm=18 #SUP: 2"
"Water=174 #SUP: 3"
"Coarse_Aggr=883 #SUP: 2"
"Cemment=140 #SUP: 3"
"Fly_ash=164 #SUP: 4"
"Coarse_Aggr=871 #SUP: 2"
"FLOW_cm=53 #SUP: 2"
"FLOW_cm=70 #SUP: 3"
"SLUMP_cm=26.5 #SUP: 3"
"Slag=107 #SUP: 3"
"Water=201 #SUP: 2"
"Water=207 #SUP: 3"
"Coarse_Aggr=870 #SUP: 2"
"SLUMP_cm=24 #SUP: 7"
"FLOW_cm=60 #SUP: 4"
"Fine_Aggr=827 #SUP: 2"
"Compressive_Strength_Mpa=35.52 #SUP: 2"
"SLUMP_cm=27.5 #SUP: 3"
"SP=13 #SUP: 2"
"Fine_Aggr=790 #SUP: 2"
"Water=194 #SUP: 2"
"SP=8 #SUP: 2"
"SLUMP_cm=21 #SUP: 5"
